"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "HTML", "Markdown", "CSS", "TypeScript JSX", "comment", "blank", "total"
"d:\workspace\brainless-jellyfish\src\dashboard\src\scene\components\dashboard\content\StatBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 60, 0, 6, 66
"d:\workspace\brainless-jellyfish\src\dashboard\src\scene\components\dashboard\global\GlobalSideBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 182, 1, 14, 197
"d:\workspace\brainless-jellyfish\src\dashboard\src\scene\components\dashboard\global\NavigationBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 5, 45
"d:\workspace\brainless-jellyfish\src\dashboard\src\scene\components\dashboard\mock\mockData.js", "JavaScript", 1299, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1309
"d:\workspace\brainless-jellyfish\src\dashboard\src\scene\components\dashboard\mock\mockGeoFeatures.js", "JavaScript", 13549, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13550
"d:\workspace\brainless-jellyfish\src\dashboard\src\scene\routes\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"d:\workspace\brainless-jellyfish\src\dashboard\src\scene\routes\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\workspace\brainless-jellyfish\src\dashboard\src\scene\routes\dashboard\Overview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 219, 45, 11, 275
"d:\workspace\brainless-jellyfish\src\dashboard\src\theme.js", "JavaScript", 218, 0, 0, 0, 0, 0, 0, 0, 5, 7, 230
"d:\workspace\brainless-jellyfish\src\dashboard\tsconfig.json", "JSON with Comments", 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"d:\workspace\brainless-jellyfish\src\dashboard\webpack.config.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"d:\workspace\brainless-jellyfish\src\database\connector.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 9, 46
"d:\workspace\brainless-jellyfish\src\events\interactionCreate.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\workspace\brainless-jellyfish\src\events\messageCreate.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\workspace\brainless-jellyfish\src\handler\CommandHandler.ts", "TypeScript", 0, 80, 0, 0, 0, 0, 0, 0, 0, 15, 95
"d:\workspace\brainless-jellyfish\src\handler\ComponentHandler.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 5, 38
"d:\workspace\brainless-jellyfish\src\handler\EventHandler.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 5, 46
"d:\workspace\brainless-jellyfish\src\handler\InteractionHandler.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 1, 4, 24
