"filename", "language", "TypeScript", "JavaScript", "CSS", "JSON with Comments", "TypeScript JSX", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"d:\workspace\brainless-jellyfish\src\utils\Logger.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 0, 0, 33, 16, 129
"d:\workspace\brainless-jellyfish\src\utils\builder\EmbedComponentBuilder.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 16, 4, 20
"d:\workspace\brainless-jellyfish\src\utils\defaultFunctions.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"d:\workspace\brainless-jellyfish\src\utils\enums\ConnectingWordMessageType.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\workspace\brainless-jellyfish\src\utils\enums\LogMessageType.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\workspace\brainless-jellyfish\src\utils\enums\button.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\workspace\brainless-jellyfish\src\utils\error\ClientError.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 98, 23, 176
"d:\workspace\brainless-jellyfish\src\utils\error\ClientErrorHandler.ts", "TypeScript", 96, 0, 0, 0, 0, 0, 0, 0, 4, 22, 122
"d:\workspace\brainless-jellyfish\src\utils\functions.ts", "TypeScript", 170, 0, 0, 0, 0, 0, 0, 0, 2, 26, 198
"Total", "-", 2716, 15103, 59, 26, 1092, 26, 22418, 20, 288, 713, 42461
